Entidad federativa,Nivel educativo,Ciclo escolar,Tasa de Deserción
Zacatecas,Media superior,2015/2016,13.7
Zacatecas,Superior,2015/2016,12.0
Aguascalientes,Primaria,2020/2021,0.7
Aguascalientes,Secundaria,2020/2021,3.0
Aguascalientes,Media superior,2020/2021,13.5
Aguascalientes,Superior,2020/2021,4.8
Baja California,Primaria,2020/2021,-0.5
Baja California,Secundaria,2020/2021,1.4
Baja California,Media superior,2020/2021,15.2
Baja California,Superior,2020/2021,5.1
Baja California Sur,Primaria,2020/2021,0.0
Baja California Sur,Secundaria,2020/2021,2.0
Baja California Sur,Media superior,2020/2021,14.0
Baja California Sur,Superior,2020/2021,15.6
Campeche,Primaria,2020/2021,1.0
Campeche,Secundaria,2020/2021,4.6
Campeche,Media superior,2020/2021,12.9
Campeche,Superior,2020/2021,12.8
Coahuila,Primaria,2020/2021,0.3
Coahuila,Secundaria,2020/2021,2.2
Coahuila,Media superior,2020/2021,13.1
Coahuila,Superior,2020/2021,11.2
Colima,Primaria,2020/2021,0.5
Colima,Secundaria,2020/2021,3.3
Colima,Media superior,2020/2021,12.5
Colima,Superior,2020/2021,14.6
Chiapas,Primaria,2020/2021,0.8
Chiapas,Secundaria,2020/2021,3.9
Chiapas,Media superior,2020/2021,10.7
Chiapas,Superior,2020/2021,3.6
Chihuahua,Primaria,2020/2021,-0.6
Chihuahua,Secundaria,2020/2021,1.7
Chihuahua,Media superior,2020/2021,16.5
Chihuahua,Superior,2020/2021,10.0
Ciudad de México,Primaria,2020/2021,-0.2
Ciudad de México,Secundaria,2020/2021,1.7
Ciudad de México,Media superior,2020/2021,9.4
Ciudad de México,Superior,2020/2021,7.7
Durango,Primaria,2020/2021,1.2
Durango,Secundaria,2020/2021,4.5
Durango,Media superior,2020/2021,14.6
Durango,Superior,2020/2021,10.5
Guanajuato,Primaria,2020/2021,0.6
Guanajuato,Secundaria,2020/2021,3.6
Guanajuato,Media superior,2020/2021,15.5
Guanajuato,Superior,2020/2021,6.8
Guerrero,Primaria,2020/2021,0.9
Guerrero,Secundaria,2020/2021,3.2
Guerrero,Media superior,2020/2021,13.9
Guerrero,Superior,2020/2021,14.6
Hidalgo,Primaria,2020/2021,-0.1
Hidalgo,Secundaria,2020/2021,2.6
Hidalgo,Media superior,2020/2021,14.6
Hidalgo,Superior,2020/2021,8.5
Jalisco,Primaria,2020/2021,-0.4
Jalisco,Secundaria,2020/2021,2.1
Jalisco,Media superior,2020/2021,1.0
Jalisco,Superior,2020/2021,3.2
México,Primaria,2020/2021,1.5
México,Secundaria,2020/2021,2.4
México,Media superior,2020/2021,10.3
México,Superior,2020/2021,9.4
Michoacán,Primaria,2020/2021,2.0
Michoacán,Secundaria,2020/2021,8.1
Michoacán,Media superior,2020/2021,16.0
Michoacán,Superior,2020/2021,12.8
Morelos,Primaria,2020/2021,1.0
Morelos,Secundaria,2020/2021,4.5
Morelos,Media superior,2020/2021,16.3
Morelos,Superior,2020/2021,6.7
Nayarit,Primaria,2020/2021,0.2
Nayarit,Secundaria,2020/2021,2.8
Nayarit,Media superior,2020/2021,15.7
Nayarit,Superior,2020/2021,7.5
Nuevo León,Primaria,2020/2021,-0.1
Nuevo León,Secundaria,2020/2021,1.0
Nuevo León,Media superior,2020/2021,9.7
Nuevo León,Superior,2020/2021,0.8
Oaxaca,Primaria,2020/2021,-1.5
Oaxaca,Secundaria,2020/2021,6.0
Oaxaca,Media superior,2020/2021,15.0
Oaxaca,Superior,2020/2021,12.2
Puebla,Primaria,2020/2021,1.1
Puebla,Secundaria,2020/2021,3.3
Puebla,Media superior,2020/2021,8.9
Puebla,Superior,2020/2021,7.8
Querétaro,Primaria,2020/2021,-0.1
Querétaro,Secundaria,2020/2021,2.0
Querétaro,Media superior,2020/2021,15.7
Querétaro,Superior,2020/2021,5.1
Quintana Roo,Primaria,2020/2021,0.0
Quintana Roo,Secundaria,2020/2021,0.5
Quintana Roo,Media superior,2020/2021,9.7
Quintana Roo,Superior,2020/2021,18.0
San Luis Potosí,Primaria,2020/2021,1.0
San Luis Potosí,Secundaria,2020/2021,4.1
San Luis Potosí,Media superior,2020/2021,12.9
San Luis Potosí,Superior,2020/2021,11.0
Sinaloa,Primaria,2020/2021,-0.1
Sinaloa,Secundaria,2020/2021,3.4
Sinaloa,Media superior,2020/2021,16.3
Sinaloa,Superior,2020/2021,18.0
Sonora,Primaria,2020/2021,0.2
Sonora,Secundaria,2020/2021,1.1
Sonora,Media superior,2020/2021,12.8
Sonora,Superior,2020/2021,13.9
Tabasco,Primaria,2020/2021,0.9
Tabasco,Secundaria,2020/2021,2.0
Tabasco,Media superior,2020/2021,10.1
Tabasco,Superior,2020/2021,7.9
Tamaulipas,Primaria,2020/2021,0.2
Tamaulipas,Secundaria,2020/2021,2.2
Tamaulipas,Media superior,2020/2021,14.8
Tamaulipas,Superior,2020/2021,10.6
Tlaxcala,Primaria,2020/2021,0.9
Tlaxcala,Secundaria,2020/2021,2.8
Tlaxcala,Media superior,2020/2021,10.7
Tlaxcala,Superior,2020/2021,9.7
Veracruz,Primaria,2020/2021,1.4
Veracruz,Secundaria,2020/2021,4.4
Veracruz,Media superior,2020/2021,10.7
Veracruz,Superior,2020/2021,13.4
Yucatán,Primaria,2020/2021,-2.0
Yucatán,Secundaria,2020/2021,-0.9
Yucatán,Media superior,2020/2021,11.3
Yucatán,Superior,2020/2021,6.3
Zacatecas,Primaria,2020/2021,0.8
Zacatecas,Secundaria,2020/2021,4.7
Zacatecas,Media superior,2020/2021,14.9
Zacatecas,Superior,2020/2021,15.2
Aguascalientes,Primaria,2021/2022,0.4
Aguascalientes,Secundaria,2021/2022,4.6
Aguascalientes,Media superior,2021/2022,8.3
Aguascalientes,Superior,2021/2022,10.3
Baja California,Primaria,2021/2022,-0.4
Baja California,Secundaria,2021/2022,2.9
Baja California,Media superior,2021/2022,11.2
Baja California,Superior,2021/2022,8.7
Baja California Sur,Primaria,2021/2022,-0.5
Baja California Sur,Secundaria,2021/2022,1.7
Baja California Sur,Media superior,2021/2022,13.6
Baja California Sur,Superior,2021/2022,16.2
Campeche,Primaria,2021/2022,0.3
Campeche,Secundaria,2021/2022,5.3
Campeche,Media superior,2021/2022,12.3
Campeche,Superior,2021/2022,12.0
Coahuila,Primaria,2021/2022,0.1
Coahuila,Secundaria,2021/2022,3.7
Coahuila,Media superior,2021/2022,12.8
Coahuila,Superior,2021/2022,9.6
Colima,Primaria,2021/2022,1.4
Colima,Secundaria,2021/2022,7.3
Colima,Media superior,2021/2022,12.4
Colima,Superior,2021/2022,11.8
Chiapas,Primaria,2021/2022,-0.1
Chiapas,Secundaria,2021/2022,5.1
Chiapas,Media superior,2021/2022,11.7
Chiapas,Superior,2021/2022,7.3
Chihuahua,Primaria,2021/2022,0.7
Chihuahua,Secundaria,2021/2022,5.9
Chihuahua,Media superior,2021/2022,13.4
Chihuahua,Superior,2021/2022,10.5
Ciudad de México,Primaria,2021/2022,2.5
Ciudad de México,Secundaria,2021/2022,4.7
Ciudad de México,Media superior,2021/2022,14.5
Ciudad de México,Superior,2021/2022,3.4
Durango,Primaria,2021/2022,0.8
Durango,Secundaria,2021/2022,4.4
Durango,Media superior,2021/2022,13.2
Durango,Superior,2021/2022,5.8
Guanajuato,Primaria,2021/2022,0.6
Guanajuato,Secundaria,2021/2022,4.0
Guanajuato,Media superior,2021/2022,12.7
Guanajuato,Superior,2021/2022,9.2
Guerrero,Primaria,2021/2022,0.9
Guerrero,Secundaria,2021/2022,4.1
Guerrero,Media superior,2021/2022,13.2
Guerrero,Superior,2021/2022,11.7
Hidalgo,Primaria,2021/2022,-0.3
Hidalgo,Secundaria,2021/2022,2.2
Hidalgo,Media superior,2021/2022,13.5
Hidalgo,Superior,2021/2022,9.0
Jalisco,Primaria,2021/2022,1.2
Jalisco,Secundaria,2021/2022,4.7
Jalisco,Media superior,2021/2022,0.0
Jalisco,Superior,2021/2022,-0.2
México,Primaria,2021/2022,-0.5
México,Secundaria,2021/2022,1.8
México,Media superior,2021/2022,8.9
México,Superior,2021/2022,7.8
Michoacán,Primaria,2021/2022,-1.1
Michoacán,Secundaria,2021/2022,5.8
Michoacán,Media superior,2021/2022,9.1
Michoacán,Superior,2021/2022,10.7
Morelos,Primaria,2021/2022,0.6
Morelos,Secundaria,2021/2022,3.8
Morelos,Media superior,2021/2022,11.3
Morelos,Superior,2021/2022,6.8
Nayarit,Primaria,2021/2022,-0.4
Nayarit,Secundaria,2021/2022,3.0
Nayarit,Media superior,2021/2022,11.5
Nayarit,Superior,2021/2022,11.1
Nuevo León,Primaria,2021/2022,-0.2
Nuevo León,Secundaria,2021/2022,3.6
Nuevo León,Media superior,2021/2022,9.9
Nuevo León,Superior,2021/2022,3.0
Oaxaca,Primaria,2021/2022,-2.5
Oaxaca,Secundaria,2021/2022,10.7
Oaxaca,Media superior,2021/2022,12.2
Oaxaca,Superior,2021/2022,15.4
Puebla,Primaria,2021/2022,-0.6
Puebla,Secundaria,2021/2022,2.8
Puebla,Media superior,2021/2022,11.3
Puebla,Superior,2021/2022,10.6
Querétaro,Primaria,2021/2022,0.7
Querétaro,Secundaria,2021/2022,5.1
Querétaro,Media superior,2021/2022,12.1
Querétaro,Superior,2021/2022,6.0
Quintana Roo,Primaria,2021/2022,-0.1
Quintana Roo,Secundaria,2021/2022,3.7
Quintana Roo,Media superior,2021/2022,9.4
Quintana Roo,Superior,2021/2022,14.1
San Luis Potosí,Primaria,2021/2022,-0.2
San Luis Potosí,Secundaria,2021/2022,3.3
San Luis Potosí,Media superior,2021/2022,10.6
San Luis Potosí,Superior,2021/2022,10.4
Sinaloa,Primaria,2021/2022,-0.2
Sinaloa,Secundaria,2021/2022,3.6
Sinaloa,Media superior,2021/2022,8.2
Sinaloa,Superior,2021/2022,10.0
Sonora,Primaria,2021/2022,0.7
Sonora,Secundaria,2021/2022,4.3
Sonora,Media superior,2021/2022,11.8
Sonora,Superior,2021/2022,14.9
Tabasco,Primaria,2021/2022,0.1
Tabasco,Secundaria,2021/2022,2.8
Tabasco,Media superior,2021/2022,6.1
Tabasco,Superior,2021/2022,9.1
Tamaulipas,Primaria,2021/2022,0.0
Tamaulipas,Secundaria,2021/2022,2.9
Tamaulipas,Media superior,2021/2022,8.7
Tamaulipas,Superior,2021/2022,7.7
Tlaxcala,Primaria,2021/2022,-0.5
Tlaxcala,Secundaria,2021/2022,1.7
Tlaxcala,Media superior,2021/2022,8.3
Tlaxcala,Superior,2021/2022,5.7
Veracruz,Primaria,2021/2022,0.3
Veracruz,Secundaria,2021/2022,3.1
Veracruz,Media superior,2021/2022,6.8
Veracruz,Superior,2021/2022,14.3
Yucatán,Primaria,2021/2022,1.7
Yucatán,Secundaria,2021/2022,5.0
Yucatán,Media superior,2021/2022,11.2
Yucatán,Superior,2021/2022,10.3
Zacatecas,Primaria,2021/2022,0.3
Zacatecas,Secundaria,2021/2022,4.8
Zacatecas,Media superior,2021/2022,11.0
Zacatecas,Superior,2021/2022,12.2
Aguascalientes,Primaria,2022/2023,0.0
Aguascalientes,Secundaria,2022/2023,4.7
Aguascalientes,Media superior,2022/2023,10.7
Aguascalientes,Superior,2022/2023,8.4
Baja California,Primaria,2022/2023,-1.4
Baja California,Secundaria,2022/2023,2.7
Baja California,Media superior,2022/2023,11.7
Baja California,Superior,2022/2023,4.8
Baja California Sur,Primaria,2022/2023,-1.3
Baja California Sur,Secundaria,2022/2023,0.5
Baja California Sur,Media superior,2022/2023,9.3
Baja California Sur,Superior,2022/2023,12.2
Campeche,Primaria,2022/2023,0.2
Campeche,Secundaria,2022/2023,4.5
Campeche,Media superior,2022/2023,12.1
Campeche,Superior,2022/2023,11.3
Coahuila,Primaria,2022/2023,-0.2
Coahuila,Secundaria,2022/2023,3.6
Coahuila,Media superior,2022/2023,14.0
Coahuila,Superior,2022/2023,7.9
Colima,Primaria,2022/2023,-0.1
Colima,Secundaria,2022/2023,3.8
Colima,Media superior,2022/2023,11.6
Colima,Superior,2022/2023,10.2
Chiapas,Primaria,2022/2023,0.5
Chiapas,Secundaria,2022/2023,5.5
Chiapas,Media superior,2022/2023,9.8
Chiapas,Superior,2022/2023,5.0
Chihuahua,Primaria,2022/2023,0.3
Chihuahua,Secundaria,2022/2023,4.5
Chihuahua,Media superior,2022/2023,13.6
Chihuahua,Superior,2022/2023,7.4
Ciudad de México,Primaria,2022/2023,0.4
Ciudad de México,Secundaria,2022/2023,1.9
Ciudad de México,Media superior,2022/2023,15.1
Ciudad de México,Superior,2022/2023,4.0
Durango,Primaria,2022/2023,-0.3
Durango,Secundaria,2022/2023,4.6
Durango,Media superior,2022/2023,12.7
Durango,Superior,2022/2023,5.1
Guanajuato,Primaria,2022/2023,0.3
Guanajuato,Secundaria,2022/2023,3.1
Guanajuato,Media superior,2022/2023,12.2
Guanajuato,Superior,2022/2023,8.8
Guerrero,Primaria,2022/2023,1.4
Guerrero,Secundaria,2022/2023,4.6
Guerrero,Media superior,2022/2023,10.8
Guerrero,Superior,2022/2023,9.0
Hidalgo,Primaria,2022/2023,-0.4
Hidalgo,Secundaria,2022/2023,2.1
Hidalgo,Media superior,2022/2023,10.5
Hidalgo,Superior,2022/2023,4.3
Jalisco,Primaria,2022/2023,0.5
Jalisco,Secundaria,2022/2023,4.6
Jalisco,Media superior,2022/2023,12.8
Jalisco,Superior,2022/2023,-1.8
México,Primaria,2022/2023,0.5
México,Secundaria,2022/2023,2.3
México,Media superior,2022/2023,9.8
México,Superior,2022/2023,8.0
Michoacán,Primaria,2022/2023,1.0
Michoacán,Secundaria,2022/2023,6.3
Michoacán,Media superior,2022/2023,11.8
Michoacán,Superior,2022/2023,12.4
Morelos,Primaria,2022/2023,1.0
Morelos,Secundaria,2022/2023,3.3
Morelos,Media superior,2022/2023,12.6
Morelos,Superior,2022/2023,6.6
Nayarit,Primaria,2022/2023,-0.2
Nayarit,Secundaria,2022/2023,3.1
Nayarit,Media superior,2022/2023,7.1
Nayarit,Superior,2022/2023,8.6
Nuevo León,Primaria,2022/2023,-0.3
Nuevo León,Secundaria,2022/2023,2.4
Nuevo León,Media superior,2022/2023,8.9
Nuevo León,Superior,2022/2023,2.4
Oaxaca,Primaria,2022/2023,-6.7
Oaxaca,Secundaria,2022/2023,-4.1
Oaxaca,Media superior,2022/2023,9.2
Oaxaca,Superior,2022/2023,11.1
Puebla,Primaria,2022/2023,0.0
Puebla,Secundaria,2022/2023,2.8
Puebla,Media superior,2022/2023,9.7
Puebla,Superior,2022/2023,9.0
Querétaro,Primaria,2022/2023,-0.6
Querétaro,Secundaria,2022/2023,3.3
Querétaro,Media superior,2022/2023,11.3
Querétaro,Superior,2022/2023,2.8
Quintana Roo,Primaria,2022/2023,1.9
Quintana Roo,Secundaria,2022/2023,6.3
Quintana Roo,Media superior,2022/2023,10.8
Quintana Roo,Superior,2022/2023,13.8
San Luis Potosí,Primaria,2022/2023,0.3
San Luis Potosí,Secundaria,2022/2023,3.0
San Luis Potosí,Media superior,2022/2023,10.7
San Luis Potosí,Superior,2022/2023,9.5
Sinaloa,Primaria,2022/2023,-0.2
Sinaloa,Secundaria,2022/2023,2.8
Sinaloa,Media superior,2022/2023,11.3
Sinaloa,Superior,2022/2023,13.6
Sonora,Primaria,2022/2023,0.2
Sonora,Secundaria,2022/2023,3.8
Sonora,Media superior,2022/2023,9.6
Sonora,Superior,2022/2023,13.3
Tabasco,Primaria,2022/2023,0.6
Tabasco,Secundaria,2022/2023,2.4
Tabasco,Media superior,2022/2023,7.1
Tabasco,Superior,2022/2023,8.0
Tamaulipas,Primaria,2022/2023,0.1
Tamaulipas,Secundaria,2022/2023,3.5
Tamaulipas,Media superior,2022/2023,9.5
Tamaulipas,Superior,2022/2023,8.7
Tlaxcala,Primaria,2022/2023,-0.1
Tlaxcala,Secundaria,2022/2023,2.3
Tlaxcala,Media superior,2022/2023,9.6
Tlaxcala,Superior,2022/2023,7.8
Veracruz,Primaria,2022/2023,0.5
Veracruz,Secundaria,2022/2023,3.1
Veracruz,Media superior,2022/2023,11.8
Veracruz,Superior,2022/2023,11.8
Yucatán,Primaria,2022/2023,2.9
Yucatán,Secundaria,2022/2023,4.7
Yucatán,Media superior,2022/2023,12.2
Yucatán,Superior,2022/2023,13.6
Zacatecas,Primaria,2022/2023,0.6
Zacatecas,Secundaria,2022/2023,5.4
Zacatecas,Media superior,2022/2023,13.0
Zacatecas,Superior,2022/2023,10.9
Aguascalientes,Primaria,2023/2024,1.4
Aguascalientes,Secundaria,2023/2024,6.0
Aguascalientes,Media superior,2023/2024,9.5
Aguascalientes,Superior,2023/2024,8.1
Baja California,Primaria,2023/2024,0.0
Baja California,Secundaria,2023/2024,2.7
Baja California,Media superior,2023/2024,11.6
Baja California,Superior,2023/2024,5.0
Baja California Sur,Primaria,2023/2024,0.0
Baja California Sur,Secundaria,2023/2024,1.9
Baja California Sur,Media superior,2023/2024,7.7
Baja California Sur,Superior,2023/2024,8.6
Campeche,Primaria,2023/2024,0.6
Campeche,Secundaria,2023/2024,5.1
Campeche,Media superior,2023/2024,11.8
Campeche,Superior,2023/2024,11.8
Coahuila,Primaria,2023/2024,0.1
Coahuila,Secundaria,2023/2024,3.4
Coahuila,Media superior,2023/2024,11.6
Coahuila,Superior,2023/2024,6.9
Colima,Primaria,2023/2024,-0.1
Colima,Secundaria,2023/2024,4.5
Colima,Media superior,2023/2024,9.0
Colima,Superior,2023/2024,9.3
Chiapas,Primaria,2023/2024,0.8
Chiapas,Secundaria,2023/2024,5.4
Chiapas,Media superior,2023/2024,9.5
Chiapas,Superior,2023/2024,4.8
Chihuahua,Primaria,2023/2024,0.2
Chihuahua,Secundaria,2023/2024,4.5
Chihuahua,Media superior,2023/2024,10.7
Chihuahua,Superior,2023/2024,9.1
Ciudad de México,Primaria,2023/2024,0.7
Ciudad de México,Secundaria,2023/2024,2.5
Ciudad de México,Media superior,2023/2024,14.8
Ciudad de México,Superior,2023/2024,4.0
Durango,Primaria,2023/2024,0.7
Durango,Secundaria,2023/2024,5.2
Durango,Media superior,2023/2024,12.5
Durango,Superior,2023/2024,4.3
Guanajuato,Primaria,2023/2024,1.2
Guanajuato,Secundaria,2023/2024,3.7
Guanajuato,Media superior,2023/2024,13.3
Guanajuato,Superior,2023/2024,7.7
Guerrero,Primaria,2023/2024,1.7
Guerrero,Secundaria,2023/2024,4.6
Guerrero,Media superior,2023/2024,11.1
Guerrero,Superior,2023/2024,9.1
Hidalgo,Primaria,2023/2024,0.2
Hidalgo,Secundaria,2023/2024,2.6
Hidalgo,Media superior,2023/2024,11.6
Hidalgo,Superior,2023/2024,3.9
Jalisco,Primaria,2023/2024,0.6
Jalisco,Secundaria,2023/2024,4.2
Jalisco,Media superior,2023/2024,12.7
Jalisco,Superior,2023/2024,-0.8
México,Primaria,2023/2024,0.6
México,Secundaria,2023/2024,2.4
México,Media superior,2023/2024,9.7
México,Superior,2023/2024,9.6
Michoacán,Primaria,2023/2024,2.2
Michoacán,Secundaria,2023/2024,7.3
Michoacán,Media superior,2023/2024,11.2
Michoacán,Superior,2023/2024,10.4
Morelos,Primaria,2023/2024,1.3
Morelos,Secundaria,2023/2024,3.9
Morelos,Media superior,2023/2024,13.7
Morelos,Superior,2023/2024,5.7
Nayarit,Primaria,2023/2024,0.3
Nayarit,Secundaria,2023/2024,3.8
Nayarit,Media superior,2023/2024,11.9
Nayarit,Superior,2023/2024,7.0
Nuevo León,Primaria,2023/2024,-0.2
Nuevo León,Secundaria,2023/2024,2.5
Nuevo León,Media superior,2023/2024,13.0
Nuevo León,Superior,2023/2024,1.9
Oaxaca,Primaria,2023/2024,1.2
Oaxaca,Secundaria,2023/2024,6.0
Oaxaca,Media superior,2023/2024,9.9
Oaxaca,Superior,2023/2024,10.3
Puebla,Primaria,2023/2024,0.3
Puebla,Secundaria,2023/2024,3.5
Puebla,Media superior,2023/2024,9.5
Puebla,Superior,2023/2024,12.6
Querétaro,Primaria,2023/2024,-0.1
Querétaro,Secundaria,2023/2024,3.1
Querétaro,Media superior,2023/2024,8.4
Querétaro,Superior,2023/2024,0.2
Quintana Roo,Primaria,2023/2024,-0.4
Quintana Roo,Secundaria,2023/2024,3.7
Quintana Roo,Media superior,2023/2024,10.0
Quintana Roo,Superior,2023/2024,11.5
San Luis Potosí,Primaria,2023/2024,0.8
San Luis Potosí,Secundaria,2023/2024,3.6
San Luis Potosí,Media superior,2023/2024,10.6
San Luis Potosí,Superior,2023/2024,10.5
Sinaloa,Primaria,2023/2024,0.6
Sinaloa,Secundaria,2023/2024,3.2
Sinaloa,Media superior,2023/2024,11.3
Sinaloa,Superior,2023/2024,11.3
Sonora,Primaria,2023/2024,0.6
Sonora,Secundaria,2023/2024,3.4
Sonora,Media superior,2023/2024,10.8
Sonora,Superior,2023/2024,11.2
Tabasco,Primaria,2023/2024,0.6
Tabasco,Secundaria,2023/2024,2.8
Tabasco,Media superior,2023/2024,9.7
Tabasco,Superior,2023/2024,6.9
Tamaulipas,Primaria,2023/2024,0.5
Tamaulipas,Secundaria,2023/2024,3.9
Tamaulipas,Media superior,2023/2024,10.2
Tamaulipas,Superior,2023/2024,6.9
Tlaxcala,Primaria,2023/2024,0.2
Tlaxcala,Secundaria,2023/2024,2.9
Tlaxcala,Media superior,2023/2024,7.6
Tlaxcala,Superior,2023/2024,6.8
Veracruz,Primaria,2023/2024,0.8
Veracruz,Secundaria,2023/2024,3.7
Veracruz,Media superior,2023/2024,12.9
Veracruz,Superior,2023/2024,12.0
Yucatán,Primaria,2023/2024,-3.8
Yucatán,Secundaria,2023/2024,-0.6
Yucatán,Media superior,2023/2024,10.3
Yucatán,Superior,2023/2024,10.0
Zacatecas,Primaria,2023/2024,1.2
Zacatecas,Secundaria,2023/2024,6.0
Zacatecas,Media superior,2023/2024,11.4
Zacatecas,Superior,2023/2024,5.3
